Line No,Source,Address,Source_1,Warp Stall Sampling (All Samples),Warp Stall Sampling (Not-issued Samples),# Samples,Instructions Executed,Thread Instructions Executed,Predicated-On Thread Instructions Executed,Avg. Threads Executed,Avg. Predicated-On Threads Executed,Divergent Branches,Address Space,Access Operation,Access Size,L1 Tag Requests Global,L1 Conflicts Shared N-Way,L1 Wavefronts Shared Excessive,L1 Wavefronts Shared,L1 Wavefronts Shared Ideal,L2 Theoretical Sectors Global Excessive,L2 Theoretical Sectors Global,L2 Theoretical Sectors Global Ideal,L2 Theoretical Sectors Local,L2 Explicit Evict Policies,L2 Explicit Hit Policy Evict First,L2 Explicit Hit Policy Evict Last,L2 Explicit Hit Policy Evict Normal,L2 Explicit Hit Policy Evict Normal Demote,L2 Explicit Miss Policy Evict First,L2 Explicit Miss Policy Evict Normal,stall_barrier,stall_branch_resolving,stall_dispatch,stall_drain,stall_imc,stall_lg,stall_long_sb,stall_math,stall_membar,stall_mio,stall_misc,stall_no_inst,stall_not_selected,stall_selected,stall_short_sb,stall_sleep,stall_tex,stall_wait,stall_barrier (Not Issued),stall_branch_resolving (Not Issued),stall_dispatch (Not Issued),stall_drain (Not Issued),stall_imc (Not Issued),stall_lg (Not Issued),stall_long_sb (Not Issued),stall_math (Not Issued),stall_membar (Not Issued),stall_mio (Not Issued),stall_misc (Not Issued),stall_no_inst (Not Issued),stall_not_selected (Not Issued),stall_selected (Not Issued),stall_short_sb (Not Issued),stall_sleeping (Not Issued),stall_tex (Not Issued),stall_wait (Not Issued),Kernel_Name,VR_dispatch_id
297,},-,-,95,87,95,6000,192000,192000,96,96,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,3,0,2,0,0,0,0,77,0,0,0,0,1,0,0,0,12,0,2,0,2,0,0,0,0,72,0,0,0,0,0,0,0,0,11,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
295,d_output[i] = (float)X * k_2powneg32;,-,-,239476,176657,239476,499968000,15998976000,15998976000,512,512,0,Global,Store,32,31248000,0,0,0,0,0,124992000,124992000,0,,0,0,0,0,0,0,0,0,7,0,0,0,0,262,0,54,0,0,288,13300,40709,0,0,184856,0,0,7,0,0,0,0,261,0,49,0,0,0,0,34249,0,0,142091,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
294,X ^= v_log2stridem1 ^ v[__ffs(~((i - stride) | v_stridemask)) - 1];,-,-,514667,372074,514667,1187424000,37997568000,37997568000,1216,1216,0,Shared,Load,32,0,1,0,31248000,31248000,0,0,0,0,,0,0,0,0,0,0,0,4895,0,0,0,0,8432,904,0,0,0,1724,478,31798,38339,0,0,428097,0,3827,0,0,0,0,6682,896,0,0,0,1402,0,0,32698,0,0,326569,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
286,for (unsigned int i = i0 + stride ; i < n_vectors ; i += stride),-,-,198294,139359,198294,500000000,16000000000,15000064000,800,768,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,5018,0,0,0,0,7,190,0,0,0,0,82,13478,0,0,0,179519,0,3714,0,0,0,0,6,190,0,0,0,0,0,0,0,0,0,135449,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
284,unsigned int v_stridemask = stride - 1;,-,-,2,1,2,4000,128000,128000,64,64,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
283,unsigned int v_log2stridem1 = v[__ffs(stride) - 2];,-,-,11,10,11,66000,2112000,2112000,1056,1056,0,Shared,Load,32,0,1,0,2000,2000,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
256,d_output[i0] = (float)X * k_2powneg32;,-,-,30,20,30,40000,1280000,1280000,640,640,0,Global,Store,32,2000,0,0,0,0,0,8000,8000,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
254,if (i0 < n_vectors),-,-,0,0,0,10000,320000,256000,160,128,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
251,g = g >> 1;,-,-,17,11,17,24000,768000,768000,64,64,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
250,X ^= mask & v[k];,-,-,113,80,113,312000,9984000,9984000,832,832,0,Shared,Load,32,0,1,0,12000,12000,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,13,0,0,92,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,66,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
