Line No,Source,Address,Source_1,Warp Stall Sampling (All Samples),Warp Stall Sampling (Not-issued Samples),# Samples,Instructions Executed,Thread Instructions Executed,Predicated-On Thread Instructions Executed,Avg. Threads Executed,Avg. Predicated-On Threads Executed,Divergent Branches,Address Space,Access Operation,Access Size,L1 Tag Requests Global,L1 Conflicts Shared N-Way,L1 Wavefronts Shared Excessive,L1 Wavefronts Shared,L1 Wavefronts Shared Ideal,L2 Theoretical Sectors Global Excessive,L2 Theoretical Sectors Global,L2 Theoretical Sectors Global Ideal,L2 Theoretical Sectors Local,L2 Explicit Evict Policies,L2 Explicit Hit Policy Evict First,L2 Explicit Hit Policy Evict Last,L2 Explicit Hit Policy Evict Normal,L2 Explicit Hit Policy Evict Normal Demote,L2 Explicit Miss Policy Evict First,L2 Explicit Miss Policy Evict Normal,stall_barrier,stall_branch_resolving,stall_dispatch,stall_drain,stall_imc,stall_lg,stall_long_sb,stall_math,stall_membar,stall_mio,stall_misc,stall_no_inst,stall_not_selected,stall_selected,stall_short_sb,stall_sleep,stall_tex,stall_wait,stall_barrier (Not Issued),stall_branch_resolving (Not Issued),stall_dispatch (Not Issued),stall_drain (Not Issued),stall_imc (Not Issued),stall_lg (Not Issued),stall_long_sb (Not Issued),stall_math (Not Issued),stall_membar (Not Issued),stall_mio (Not Issued),stall_misc (Not Issued),stall_no_inst (Not Issued),stall_not_selected (Not Issued),stall_selected (Not Issued),stall_short_sb (Not Issued),stall_sleeping (Not Issued),stall_tex (Not Issued),stall_wait (Not Issued),Kernel_Name,VR_dispatch_id
95,},-,-,169,148,169,16000,512000,512000,128,128,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,7,0,1,0,0,0,0,137,0,1,0,0,0,0,0,0,23,0,5,0,1,0,0,0,0,122,0,1,0,0,0,0,0,0,19,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
93,d_output[i] = (float)X * k_2powneg32;,-,-,125281,66749,125281,499936000,15997952000,15997952000,512,512,0,Global,Store,32,31246000,0,0,0,0,0,124984000,124984000,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,4236,0,0,0,0,1707,7938,0,0,0,111399,0,0,1,0,0,0,0,4103,0,0,0,0,0,0,0,0,0,62645,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
92,X ^= v_log2stridem1 ^ v[c];,-,-,291394,155861,291394,1093610000,34995520000,34995520000,1120,1120,0,Shared,Load,32,0,1,0,31246000,31246000,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,0,5327,10651,0,0,0,0,4925,17411,10111,0,0,242965,0,0,4,0,0,0,3207,10229,0,0,0,0,0,0,6112,0,0,136309,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
91,unsigned int c = __ffs(~((i - stride) | v_stridemask)) - 1;,-,-,77087,40751,77087,312460000,9998720000,9998720000,320,320,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,2948,0,0,0,0,0,3139,0,0,0,1359,1522,5139,0,0,0,62980,0,1674,0,0,0,0,0,3000,0,0,0,779,0,0,0,0,0,35298,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
89,for (unsigned int i = i0 + stride; i < n_vectors; i += stride),-,-,125149,66285,125149,500000000,16000000000,15000128000,800,768,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,2940,1,0,0,0,37,3876,0,0,0,1,1772,7966,0,0,0,108556,0,1680,1,0,0,0,27,3730,0,0,0,0,0,0,0,0,0,60847,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
87,unsigned int v_stridemask = stride - 1;,-,-,1,1,1,8000,256000,256000,64,64,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
86,unsigned int v_log2stridem1 = v[__ffs(stride) - 2];,-,-,33,15,33,176000,5632000,5632000,1408,1408,0,Shared,Load,32,0,1,0,4000,4000,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,29,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,12,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
83,d_output[i0] = (float)X * k_2powneg32;,-,-,19,15,19,80000,2560000,2560000,640,640,0,Global,Store,32,4000,0,0,0,0,0,16000,16000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
81,if (i0 < n_vectors),-,-,7,4,7,20000,640000,512000,160,128,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
78,g >>= 1;,-,-,9,4,9,56000,1792000,1792000,64,64,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
77,X ^= mask & v[k];,-,-,229,116,229,980000,31360000,31360000,1120,1120,0,Shared,Load,32,0,1,0,28000,28000,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,11,8,0,0,206,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,110,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
76,mask = -(g & 1);,-,-,24,12,24,140000,4480000,4480000,160,160,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
74,for (unsigned int k = 0; k < __ffs(stride) - 1; k++),-,-,179,77,179,832000,26624000,25728000,1184,1156,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,8,0,0,0,165,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,72,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
71,unsigned int X = 0;,-,-,1,1,1,16000,512000,512000,128,128,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
70,unsigned int g = i0 ^ (i0 >> 1);,-,-,3,2,3,12000,384000,384000,96,96,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",1
